id,category,price,title_tr,title_en,desc_tr,desc_en,img,url
p1,telefon,24999,"Aurora X12 Akıllı Telefon 128GB","Aurora X12 Smartphone 128GB","6.5 inç ekran, 128GB depolama, çift kamera, hızlı şarj destekli akıllı telefon","6.5-inch display, 128GB storage, dual camera, fast charging smartphone",📱,https://example-store.com/products/p1
p2,telefon,32999,"Aurora X15 Pro Akıllı Telefon 256GB","Aurora X15 Pro Smartphone 256GB","6.7 inç AMOLED ekran, 256GB depolama, üçlü kamera, kablosuz şarj destekli premium telefon","6.7-inch AMOLED display, 256GB storage, triple camera, wireless charging premium phone",📱,https://example-store.com/products/p2
p3,kilif,349,"Aurora X12 için Şeffaf Silikon Kılıf","Clear Silicone Case for Aurora X12","Darbe emici şeffaf silikon telefon kılıfı, Aurora X12 ile uyumlu","Shock-absorbing clear silicone phone case, compatible with Aurora X12",🛡️,https://example-store.com/products/p3
p4,kilif,449,"Aurora X15 Pro için Deri Görünümlü Kılıf","Leather-Look Case for Aurora X15 Pro","Şık deri görünümlü koruyucu kılıf, kart bölmeli, Aurora X15 Pro ile uyumlu","Elegant leather-look protective case with card slot, compatible with Aurora X15 Pro",🛡️,https://example-store.com/products/p4
p5,ekran_koruyucu,199,"9H Temperli Cam Ekran Koruyucu (2'li Paket)","9H Tempered Glass Screen Protector (2-Pack)","Çizilmeye dayanıklı 9H sertlikte temperli cam ekran koruyucu, tüm telefon modelleriyle uyumlu","Scratch-resistant 9H hardness tempered glass screen protector, compatible with all phone models",🔲,https://example-store.com/products/p5
p6,sarj,599,"20W Hızlı Şarj Adaptörü ve Kablo Seti","20W Fast Charging Adapter and Cable Set","USB-C hızlı şarj adaptörü, 1 metre örgülü kablo dahil","USB-C fast charging adapter, includes 1m braided cable",🔌,https://example-store.com/products/p6
p7,sarj,899,"Kablosuz Şarj Standı 15W","15W Wireless Charging Stand","Masaüstü kablosuz şarj standı, telefonu dik tutar, hızlı kablosuz şarj destekli","Desktop wireless charging stand, holds phone upright, supports fast wireless charging",🔌,https://example-store.com/products/p7
p8,kulaklik,1499,"Aurora Buds Kablosuz Kulaklık","Aurora Buds Wireless Earbuds","Gürültü önleyici kablosuz kulak içi kulaklık, 24 saat pil ömrü, şarj kutulu","Noise-cancelling wireless earbuds, 24-hour battery life, with charging case",🎧,https://example-store.com/products/p8
p9,kulaklik,2999,"Aurora Buds Pro Gürültü Önleyici Kulaklık","Aurora Buds Pro Noise-Cancelling Earbuds","Aktif gürültü önleme özellikli premium kablosuz kulaklık, su geçirmez","Premium wireless earbuds with active noise cancellation, water-resistant",🎧,https://example-store.com/products/p9
p10,powerbank,999,"10000mAh Taşınabilir Şarj Cihazı","10000mAh Portable Power Bank","Kompakt taşınabilir batarya, iki cihazı aynı anda şarj eder, hızlı şarj destekli","Compact portable battery, charges two devices at once, fast charging supported",🔋,https://example-store.com/products/p10
p11,powerbank,1799,"20000mAh Yüksek Kapasiteli Şarj Cihazı","20000mAh High-Capacity Power Bank","Uzun yolculuklar için yüksek kapasiteli taşınabilir şarj cihazı, dijital ekranlı","High-capacity portable charger for long trips, with digital display",🔋,https://example-store.com/products/p11
p12,laptop,34999,"NovaBook 14 Dizüstü Bilgisayar","NovaBook 14 Laptop","14 inç ekran, 16GB RAM, 512GB SSD, günlük kullanım ve ofis işleri için ideal dizüstü bilgisayar","14-inch display, 16GB RAM, 512GB SSD, ideal laptop for daily use and office work",💻,https://example-store.com/products/p12
p13,laptop_aksesuar,799,"Laptop Çantası 14-15 inç","Laptop Bag 14-15 inch","Su geçirmez, dolgulu laptop taşıma çantası, 14-15 inç dizüstü bilgisayarlarla uyumlu","Water-resistant padded laptop carrying bag, fits 14-15 inch laptops",🎒,https://example-store.com/products/p13
